id;id_article;nom_article;rayon;rayonnier;description;quantite;pu
1;8878;index Licensed;copy lavender;Sleek Movies;firewall;53465;18734
2;40651;system microchip AGP;PCI;Languedoc-Roussillon invoice dominicaine;Pants;90372;76883
3;85843;HTTP XSS;static Bénin magenta;enhance;Philippine user-centric online;80035;84135
4;58058;XSS copying AI;matrix a;Small capacitor;payment Shoes Dinar;25387;9662
5;51755;Agent Concrete;withdrawal c;yellow;b back generate;65341;82658
6;23420;synergistic back Account;Sleek circuit;Franc;Royale Huchette;25115;66865
7;42436;Berkshire;Handmade Wooden;quantifying Aquitaine interactive;Loan;421;5493
8;61207;Rubber sensor;Botswana Loan;Lorraine Cotton;Plastic Steel deposit;33011;1618
9;43666;c;Syrian;zero invoice;c Royaume-Uni;53250;14142
10;19933;deposit;User-friendly pixel;Buckinghamshire;Rubber Grocery;92037;54202
