id;id_commande;qte;description
1;44928;Towels bricks-and-clicks calculating;Administrateur Poitou-Charentes Total
2;80971;navigating Progressive;full-range connecting Haute-Normandie
3;48905;Guinée;Sausages a c
4;85176;a Rubber;calculate Frozen
5;79062;sensor c;input Mexique end-to-end
6;72971;Awesome Île-de-France;violet service-desk
7;80729;Uganda;strategy Provence-Alpes-Côte
8;9985;magenta Alsace Languedoc-Roussillon;encompassing Malagasy e-enable
9;8616;Buckinghamshire Wooden;Outdoors web convergence
10;84712;knowledge hack internet;Shoes microchip
