id;id_famille;nom_famille;description
1;32200;e-markets Victoire Ingenieur;Buckinghamshire
2;32994;24/7 Generic;Rustic Haute-Normandie Dominique
3;19067;envisioneer;Steel Bourgogne
4;66594;upward-trending Franc a;Coordinateur
5;88254;empowering architect b;Concrete asymmetric plug-and-play
6;43677;b Loan cultivate;holistic optical hard
7;83949;Ingenieur;quantifying deposit
8;60446;SDD quantify;Practical parsing SAS
9;52822;Picardie Dinar tangible;unleash Account CFA
10;71387;budgetary;Wooden Fundamental bandwidth
