id;id_fournisseur;nom_fournisseur;raison_sociale;telephone;adresse
1;95939;User-friendly back-end magenta;convergence Account;0573822024;Small matrix seamless
2;82502;Inde utilisation;Reverse-engineered Pants;+33 495676026;Granite interfaces Sausages
3;53412;Checking plug-and-play b;b;0236039731;silver Dominique Kids
4;97495;Cotton blue Tuna;Home Seine;+33 262502694;engage
5;51292;contextually-based Corse Executif;morph;+33 782503136;withdrawal
6;24503;Berkshire;Nesle;+33 402544340;monitoring Auvergne
7;44003;human-resource;Steel turn-key;+33 269669775;partnerships
8;69976;primary Kids b;bricks-and-clicks;+33 555054144;Pants Soft Fresh
9;88368;Buckinghamshire;harness Zadkine redundant;0636980730;c
10;72178;b Colombie Cheese;platforms;0233781156;Garden c de
