id;id_sous_famille;nom_sous_famille;description;state_province
1;99455;b b;Champagne-Ardenne e-enable Limousin;de model
2;81965;Augustins Chicken multi-byte;c;Seychelles Cotton
3;29856;deposit;Ameliorated Intelligent withdrawal;open-source Wooden
4;90238;Molière b innovative;Stagiaire;haptic
5;2994;Expanded;b;Poitou-Charentes Plastic
6;484;Buckinghamshire strategy Beauty;Berkshire c Borders;JBOD c
7;73720;Assistant;Investment Kirghizistan;Persistent
8;56054;Forint quantify;Mozambique FTP;orchid killer
9;87899;Lombards mobile;withdrawal;visionary improvement
10;38437;c supply-chains;Savings Account République;Executif
